"TABLE","TABLEDESC","BEGINYEAR","ENDYEAR","COMPONENT"
"ETHOX_I","Ethylene Oxide",2015,2016,"Laboratory"
"OPD_G","Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine",2011,2012,"Laboratory"
"FETIB_J","Iron Status - Serum",2017,2018,"Laboratory"
"AMDGDS_H","Acrylamide & Glycidamide - Special Sample",2013,2014,"Laboratory"
"ETHOXS_H","Ethylene Oxide - Special Sample",2013,2014,"Laboratory"
"PBCD_J","Lead, Cadmium, Total Mercury, Selenium, & Manganese - Blood",2017,2018,"Laboratory"
"CRCO_J","Chromium & Cobalt",2017,2018,"Laboratory"
"IHGEM_J","Mercury: Inorganic, Ethyl and Methyl - Blood",2017,2018,"Laboratory"
"CMV_J","Cytomegalovirus IgG & IgM Antibodies - Serum",2017,2018,"Laboratory"
"HSV_J_R","Herpes Simplex Virus Type-2 - Youth",2017,2018,"Laboratory"
"HSVA_J_R","Herpes Simplex Virus Type-1 and Type-2",2017,2018,"Laboratory"
"U1CF_H_R","Caffeine - 24-Hour Urine - First Collection",2014,2014,"Laboratory"
"U2CF_H_R","Caffeine - 24-Hour Urine - Second Collection",2014,2014,"Laboratory"
"MGEA_J_R","Mycoplasma genitalium - Urine - Adult",2017,2018,"Laboratory"
"MGEN_J_R","Mycoplasma genitalium - Urine - Youth",2017,2018,"Laboratory"
"TRIA_J_R","Trichomonas - Urine - Adult",2017,2018,"Laboratory"
"TRIC_J_R","Trichomonas - Urine - Youth",2017,2018,"Laboratory"
"CHLA_J_R","Chlamydia - Urine - Adult",2017,2018,"Laboratory"
"CHLM_J_R","Chlamydia - Urine - Youth",2017,2018,"Laboratory"
"AA_H","Aromatic Amines - Urine",2013,2014,"Laboratory"
"AAS_H","Aromatic Amines - Urine - Special Sample",2013,2014,"Laboratory"
"FORMAL_I","Formaldehyde",2015,2016,"Laboratory"
"GLU_J","Plasma Fasting Glucose",2017,2018,"Laboratory"
"COT_J","Cotinine and Hydroxycotinine - Serum",2017,2018,"Laboratory"
"SSPT_I","Pertussis and tetanus – Serum (Surplus)",2015,2016,"Laboratory"
"FORMAS_H","Formaldehyde - Special Sample",2013,2014,"Laboratory"
"FORMAL_H","Formaldehyde",2013,2014,"Laboratory"
