"TABLE","TABLEDESC","BEGINYEAR","ENDYEAR","COMPONENT"
"HEPBD_L","Hepatitis B: Core antibody, Surface antigen, and Hepatitis D: antibody",2021,2023,"Laboratory"
"HEPC_L","Hepatitis C: RNA (HCV-RNA), Confirmed Antibody (INNO-LIA), & Genotype",2021,2023,"Laboratory"
"HEPE_L","Hepatitis E: IgG & IgM Antibodies",2021,2023,"Laboratory"
"P_SSEBVA","Epstein-Barr Virus Serology - Serum (Surplus)",2017,2020,"Laboratory"
"P_SSCMVA","Cytomegalovirus Serology - Serum (Surplus)",2017,2020,"Laboratory"
"SSHOLO_G","Holotranscobalamin – Serum (Surplus)",2011,2012,"Laboratory"
"MGEN_L_R","Mycoplasma genitalium - Urine - Youth",2021,2023,"Laboratory"
"MGEA_L_R","Mycoplasma genitalium - Urine - Adult",2021,2023,"Laboratory"
"CHLM_L_R","Chlamydia - Urine - Youth",2021,2023,"Laboratory"
"CHLA_L_R","Chlamydia - Urine - Adult",2021,2023,"Laboratory"
"ACQ_D","Acculturation",2005,2006,"Questionnaire"
"ALQ_D","Alcohol Use",2005,2006,"Questionnaire"
"ALQ_E","Alcohol Use",2007,2008,"Questionnaire"
"AGQ_D","Allergy",2005,2006,"Questionnaire"
"BHQ_D","Bowel Health",2005,2006,"Questionnaire"
"BPQ_D","Blood Pressure & Cholesterol",2005,2006,"Questionnaire"
"CDQ_D","Cardiovascular Health",2005,2006,"Questionnaire"
"HSQ_D","Current Health Status",2005,2006,"Questionnaire"
"DPQ_D","Mental Health - Depression Screener",2005,2006,"Questionnaire"
"DEQ_D","Dermatology",2005,2006,"Questionnaire"
"DBQ_D","Diet Behavior & Nutrition",2005,2006,"Questionnaire"
"BHQ_E","Bowel Health",2007,2008,"Questionnaire"
"BPQ_E","Blood Pressure & Cholesterol",2007,2008,"Questionnaire"
"CDQ_E","Cardiovascular Health",2007,2008,"Questionnaire"
"RXQ_RX","Prescription Medications",1999,2000,"Questionnaire"
"ECQ_E","Early Childhood",2007,2008,"Questionnaire"
"HSQ_E","Current Health Status",2007,2008,"Questionnaire"
"IMQ_E","Immunization",2007,2008,"Questionnaire"
"KIQ_P_E","Prostate Conditions",2007,2008,"Questionnaire"
"KIQ_U_E","Kidney Conditions - Urology",2007,2008,"Questionnaire"
"MCQ_E","Medical Conditions",2007,2008,"Questionnaire"
"OHQ_E","Oral Health",2007,2008,"Questionnaire"
"PAQ_E","Physical Activity",2007,2008,"Questionnaire"
"PFQ_E","Physical Functioning",2007,2008,"Questionnaire"
"PUQMEC_E","Pesticide Use",2007,2008,"Questionnaire"
"SMQFAM_E","Smoking - Household Smokers",2007,2008,"Questionnaire"
"SMQRTU_E","Smoking - Recent Tobacco Use",2007,2008,"Questionnaire"
"SSQ_E","Social Support",2007,2008,"Questionnaire"
"VIQ_E","Vision",2007,2008,"Questionnaire"
"WHQ_E","Weight History",2007,2008,"Questionnaire"
"WHQMEC_E","Weight History - Youth",2007,2008,"Questionnaire"
"HIQ_E","Health Insurance",2007,2008,"Questionnaire"
"OSQ_E","Osteoporosis",2007,2008,"Questionnaire"
"AUQ_E","Audiometry",2007,2008,"Questionnaire"
"RDQ_E","Respiratory Health",2007,2008,"Questionnaire"
"SXQ_E","Sexual Behavior",2007,2008,"Questionnaire"
"DIQ_E","Diabetes",2007,2008,"Questionnaire"
"HUQ_E","Hospital Utilization & Access to Care",2007,2008,"Questionnaire"
"SMQ_E","Smoking - Cigarette Use",2007,2008,"Questionnaire"
"SLQ_E","Sleep Disorders",2007,2008,"Questionnaire"
"ALQYTH_E","Alcohol Use - Youth",2007,2008,"Questionnaire"
"ALQYTH_D","Alcohol Use - Youth",2005,2006,"Questionnaire"
"SXQYTH_D","Sexual Behavior - Youth",2005,2006,"Questionnaire"
"ACQ_E","Acculturation",2007,2008,"Questionnaire"
"DPQ_E","Mental Health - Depression Screener",2007,2008,"Questionnaire"
"HOQ_E","Housing Characteristics",2007,2008,"Questionnaire"
"DPQYTH_E","Mental Health - Depression Screener - Youth",2007,2008,"Questionnaire"
"DUQ_E","Drug Use",2007,2008,"Questionnaire"
"DUQYTH_E","Drug Use - Youth",2007,2008,"Questionnaire"
"RHQ_E","Reproductive Health",2007,2008,"Questionnaire"
"RXQ_RX_E","Prescription Medications",2007,2008,"Questionnaire"
"RHQ_E_R","Reproductive Health - Pregnant Women",2007,2008,"Questionnaire"
"ALQYTH","Alcohol Use - Youth",1999,2000,"Questionnaire"
"CIQGAD","Mental Health - Generalized Anxiety Disorder",1999,2000,"Questionnaire"
"CIQMDEP","Mental Health - Depression",1999,2000,"Questionnaire"
"CIQPANIC","Mental Health - Panic Disorder",1999,2000,"Questionnaire"
"CBQ_E","Consumer Behavior",2007,2008,"Questionnaire"
"ACQ","Acculturation",1999,2000,"Questionnaire"
"ALQ","Alcohol Use",1999,2000,"Questionnaire"
"AUQ","Audiometry",1999,2000,"Questionnaire"
"BAQ","Balance",1999,2000,"Questionnaire"
"BPQ","Blood Pressure & Cholesterol",1999,2000,"Questionnaire"
"CDQ","Cardiovascular Health",1999,2000,"Questionnaire"
"CFQ","Cognitive Functioning",1999,2000,"Questionnaire"
"HSQ","Current Health Status",1999,2000,"Questionnaire"
"DEQ","Dermatology",1999,2000,"Questionnaire"
"DIQ","Diabetes",1999,2000,"Questionnaire"
"DBQ","Diet Behavior & Nutrition",1999,2000,"Questionnaire"
"DUQ","Drug Use",1999,2000,"Questionnaire"
"ECQ","Early Childhood",1999,2000,"Questionnaire"
"FSQ","Food Security",1999,2000,"Questionnaire"
"HIQ","Health Insurance",1999,2000,"Questionnaire"
"HUQ","Hospital Utilization & Access to Care",1999,2000,"Questionnaire"
"HOQ","Housing Characteristics",1999,2000,"Questionnaire"
"IMQ","Immunization",1999,2000,"Questionnaire"
"KIQ","Kidney Conditions",1999,2000,"Questionnaire"
"DBQ_E","Diet Behavior & Nutrition",2007,2008,"Questionnaire"
"MCQ","Medical Conditions",1999,2000,"Questionnaire"
"MPQ","Miscellaneous Pain",1999,2000,"Questionnaire"
"OCQ","Occupation",1999,2000,"Questionnaire"
"OHQ","Oral Health",1999,2000,"Questionnaire"
"OSQ","Osteoporosis",1999,2000,"Questionnaire"
"RXQ_ANA","Analgesic Pain Relievers",1999,2000,"Questionnaire"
"PUQ","Pesticide Use",1999,2000,"Questionnaire"
"PAQ","Physical Activity",1999,2000,"Questionnaire"
"PAQIAF","Physical Activity - Individual Activities",1999,2000,"Questionnaire"
"PFQ","Physical Functioning",1999,2000,"Questionnaire"
"RHQ","Reproductive Health",1999,2000,"Questionnaire"
"RDQ","Respiratory Health",1999,2000,"Questionnaire"
"SXQ","Sexual Behavior",1999,2000,"Questionnaire"
"SMQMEC","Smoking - Adult Recent Tobacco Use & Youth Cigarette/Tobacco Use",1999,2000,"Questionnaire"
"SMQ","Smoking - Cigarette/Tobacco Use - Adult",1999,2000,"Questionnaire"
"SSQ","Social Support",1999,2000,"Questionnaire"
"TBQ","Tuberculosis",1999,2000,"Questionnaire"
"VIQ","Vision",1999,2000,"Questionnaire"
"WHQ","Weight History",1999,2000,"Questionnaire"
"CDQ_C","Cardiovascular Health",2003,2004,"Questionnaire"
"HCQ_E","Hepatitis C Follow Up",2007,2008,"Questionnaire"
"INQ_E","Income",2007,2008,"Questionnaire"
"FSQ_E","Food Security",2007,2008,"Questionnaire"
"YCQ","Mental Health - Conduct Disorder - Youth",1999,2000,"Questionnaire"
"WHQ_B","Weight History",2001,2002,"Questionnaire"
"FSQ_E_R","Food Security - Pregnant Women",2007,2008,"Questionnaire"
"AQQ_E","Air Quality",2007,2008,"Questionnaire"
"SXQYTH_E","Sexual Behavior - Youth",2007,2008,"Questionnaire"
"AUQ_D","Audiometry",2005,2006,"Questionnaire"
"DIQ_D","Diabetes",2005,2006,"Questionnaire"
"DUQ_D","Drug Use",2005,2006,"Questionnaire"
"ECQ_D","Early Childhood",2005,2006,"Questionnaire"
"FSQ_D","Food Security",2005,2006,"Questionnaire"
"HIQ_D","Health Insurance",2005,2006,"Questionnaire"
"HCQ_D","Hepatitis C Follow Up",2005,2006,"Questionnaire"
"HUQ_D","Hospital Utilization & Access to Care",2005,2006,"Questionnaire"
"HOQ_D","Housing Characteristics",2005,2006,"Questionnaire"
"IMQ_D","Immunization",2005,2006,"Questionnaire"
"KIQ_U_D","Kidney Conditions - Urology",2005,2006,"Questionnaire"
"MCQ_D","Medical Conditions",2005,2006,"Questionnaire"
"OHQ_D","Oral Health",2005,2006,"Questionnaire"
"OSQ_D","Osteoporosis",2005,2006,"Questionnaire"
"PUQMEC_D","Pesticide Use",2005,2006,"Questionnaire"
"PAQ_D","Physical Activity",2005,2006,"Questionnaire"
"PAQIAF_D","Physical Activity - Individual Activities",2005,2006,"Questionnaire"
"PFQ_D","Physical Functioning",2005,2006,"Questionnaire"
"RXQ_RX_D","Prescription Medications",2005,2006,"Questionnaire"
"KIQ_P_D","Prostate Conditions",2005,2006,"Questionnaire"
"PSQ_D","Prostate Specific Antigen Follow-up",2005,2006,"Questionnaire"
"RHQ_D","Reproductive Health",2005,2006,"Questionnaire"
"RDQ_D","Respiratory Health",2005,2006,"Questionnaire"
"SXQ_D","Sexual Behavior",2005,2006,"Questionnaire"
"SLQ_D","Sleep Disorders",2005,2006,"Questionnaire"
"SMQ_D","Smoking - Cigarette Use",2005,2006,"Questionnaire"
"SMQFAM_D","Smoking - Household Smokers",2005,2006,"Questionnaire"
"SMQRTU_D","Smoking - Recent Tobacco Use",2005,2006,"Questionnaire"
"SSQ_D","Social Support",2005,2006,"Questionnaire"
"VIQ_D","Vision",2005,2006,"Questionnaire"
"WHQMEC_D","Weight History - Youth",2005,2006,"Questionnaire"
"WHQ_D","Weight History",2005,2006,"Questionnaire"
"ACQ_C","Acculturation",2003,2004,"Questionnaire"
"ALQ_C","Alcohol Use",2003,2004,"Questionnaire"
"RXQANA_C","Analgesic Pain Relievers",2003,2004,"Questionnaire"
"AUQ_C","Audiometry",2003,2004,"Questionnaire"
"BAQ_C","Balance",2003,2004,"Questionnaire"
"BPQ_C","Blood Pressure & Cholesterol",2003,2004,"Questionnaire"
"HSQ_C","Current Health Status",2003,2004,"Questionnaire"
"DEQ_C","Dermatology",2003,2004,"Questionnaire"
"DIQ_C","Diabetes",2003,2004,"Questionnaire"
"DBQ_C","Diet Behavior & Nutrition",2003,2004,"Questionnaire"
"DUQ_C","Drug Use",2003,2004,"Questionnaire"
"ECQ_C","Early Childhood",2003,2004,"Questionnaire"
"SMQFAM_C","Smoking - Household Smokers",2003,2004,"Questionnaire"
"FSQ_C","Food Security",2003,2004,"Questionnaire"
"HIQ_C","Health Insurance",2003,2004,"Questionnaire"
"HOQ_C","Housing Characteristics",2003,2004,"Questionnaire"
"HCQ_C","Hepatitis C Follow Up",2003,2004,"Questionnaire"
"HUQ_C","Hospital Utilization & Access to Care",2003,2004,"Questionnaire"
"IMQ_C","Immunization",2003,2004,"Questionnaire"
"KIQ_U_C","Kidney Conditions - Urology",2003,2004,"Questionnaire"
"MCQ_C","Medical Conditions",2003,2004,"Questionnaire"
"MPQ_C","Miscellaneous Pain",2003,2004,"Questionnaire"
"OCQ_C","Occupation",2003,2004,"Questionnaire"
"OHQ_C","Oral Health",2003,2004,"Questionnaire"
"OSQ_C","Osteoporosis",2003,2004,"Questionnaire"
"PUQ_C","Pesticide Use",2003,2004,"Questionnaire"
"PAQ_C","Physical Activity",2003,2004,"Questionnaire"
"PAQIAF_C","Physical Activity - Individual Activities",2003,2004,"Questionnaire"
"PFQ_C","Physical Functioning",2003,2004,"Questionnaire"
"RXQ_RX_C","Prescription Medications",2003,2004,"Questionnaire"
"KIQ_P_C","Prostate Conditions",2003,2004,"Questionnaire"
"PSQ_C","Prostate Specific Antigen Follow-up",2003,2004,"Questionnaire"
"RHQ_C","Reproductive Health",2003,2004,"Questionnaire"
"RDQ_C","Respiratory Health",2003,2004,"Questionnaire"
"SMQ_C","Smoking - Cigarette/Tobacco Use - Adult",2003,2004,"Questionnaire"
"SMQMEC_C","Smoking - Adult Recent Tobacco Use & Youth Cigarette/Tobacco Use",2003,2004,"Questionnaire"
"SSQ_C","Social Support",2003,2004,"Questionnaire"
"SXQ_C","Sexual Behavior",2003,2004,"Questionnaire"
"VIQ_C","Vision",2003,2004,"Questionnaire"
"WHQ_C","Weight History",2003,2004,"Questionnaire"
"ACQ_B","Acculturation",2001,2002,"Questionnaire"
"ALQ_B","Alcohol Use",2001,2002,"Questionnaire"
"RXQANA_B","Analgesic Pain Relievers",2001,2002,"Questionnaire"
"AUQ_B","Audiometry",2001,2002,"Questionnaire"
"BAQ_B","Balance",2001,2002,"Questionnaire"
"BPQ_B","Blood Pressure & Cholesterol",2001,2002,"Questionnaire"
"CDQ_B","Cardiovascular Health",2001,2002,"Questionnaire"
"CFQ_B","Cognitive Functioning",2001,2002,"Questionnaire"
"HSQ_B","Current Health Status",2001,2002,"Questionnaire"
"DEQ_B","Dermatology",2001,2002,"Questionnaire"
"DIQ_B","Diabetes",2001,2002,"Questionnaire"
"DBQ_B","Diet Behavior & Nutrition",2001,2002,"Questionnaire"
"DUQ_B","Drug Use",2001,2002,"Questionnaire"
"ECQ_B","Early Childhood",2001,2002,"Questionnaire"
"SMQFAM_B","Smoking - Household Smokers",2001,2002,"Questionnaire"
"FSQ_B","Food Security",2001,2002,"Questionnaire"
"HIQ_B","Health Insurance",2001,2002,"Questionnaire"
"HCQ_B","Hepatitis C Follow Up",2001,2002,"Questionnaire"
"HUQ_B","Hospital Utilization & Access to Care",2001,2002,"Questionnaire"
"HOQ_B","Housing Characteristics",2001,2002,"Questionnaire"
"IMQ_B","Immunization",2001,2002,"Questionnaire"
"MCQ_B","Medical Conditions",2001,2002,"Questionnaire"
"MPQ_B","Miscellaneous Pain",2001,2002,"Questionnaire"
"OCQ_B","Occupation",2001,2002,"Questionnaire"
"OSQ_B","Osteoporosis",2001,2002,"Questionnaire"
"PUQ_B","Pesticide Use",2001,2002,"Questionnaire"
"PAQ_B","Physical Activity",2001,2002,"Questionnaire"
"PAQIAF_B","Physical Activity - Individual Activities",2001,2002,"Questionnaire"
"PFQ_B","Physical Functioning",2001,2002,"Questionnaire"
"KIQ_P_B","Prostate Conditions",2001,2002,"Questionnaire"
"RHQ_B","Reproductive Health",2001,2002,"Questionnaire"
"RDQ_B","Respiratory Health",2001,2002,"Questionnaire"
"SXQ_B","Sexual Behavior",2001,2002,"Questionnaire"
"SSQ_B","Social Support",2001,2002,"Questionnaire"
"SMQ_B","Smoking - Cigarette/Tobacco Use - Adult",2001,2002,"Questionnaire"
"SMQMEC_B","Smoking - Adult Recent Tobacco Use & Youth Cigarette/Tobacco Use",2001,2002,"Questionnaire"
"KIQ_U_B","Kidney Conditions - Urology",2001,2002,"Questionnaire"
"VIQ_B","Vision",2001,2002,"Questionnaire"
"RXQ_RX_B","Prescription Medications",2001,2002,"Questionnaire"
"CIQGAD_C","Mental Health - Generalized Anxiety Disorder",2003,2004,"Questionnaire"
"CIQDEP_C","Mental Health - Depression",2003,2004,"Questionnaire"
"CIQPAN_C","Mental Health - Panic Disorder",2003,2004,"Questionnaire"
"CIQPAN_B","Mental Health - Panic Disorder",2001,2002,"Questionnaire"
"CIQGAD_B","Mental Health - Generalized Anxiety Disorder",2001,2002,"Questionnaire"
"CIQDEP_B","Mental Health - Depression",2001,2002,"Questionnaire"
"SMQFAM","Smoking - Household Smokers",1999,2000,"Questionnaire"
"OHQ_B","Oral Health",2001,2002,"Questionnaire"
"DEQ_E_R","Dermatology",2007,2008,"Questionnaire"
"CBQ_F","Consumer Behavior",2009,2010,"Questionnaire"
"SMQFAM_F","Smoking - Household Smokers",2009,2010,"Questionnaire"
"SMQRTU_F","Smoking - Recent Tobacco Use",2009,2010,"Questionnaire"
"BPQ_F","Blood Pressure & Cholesterol",2009,2010,"Questionnaire"
"RDQ_F","Respiratory Health",2009,2010,"Questionnaire"
"CDQ_F","Cardiovascular Health",2009,2010,"Questionnaire"
"ARQ_F","Arthritis",2009,2010,"Questionnaire"
"MCQ_F","Medical Conditions",2009,2010,"Questionnaire"
"DIQ_F","Diabetes",2009,2010,"Questionnaire"
"RHQ_F","Reproductive Health",2009,2010,"Questionnaire"
"DPQ_F","Mental Health - Depression Screener",2009,2010,"Questionnaire"
"PAQ_F","Physical Activity",2009,2010,"Questionnaire"
"AUQ_F","Audiometry",2009,2010,"Questionnaire"
"AQQ_F","Air Quality",2009,2010,"Questionnaire"
"PFQ_F","Physical Functioning",2009,2010,"Questionnaire"
"SMQ_F","Smoking - Cigarette Use",2009,2010,"Questionnaire"
"OHQ_F","Oral Health",2009,2010,"Questionnaire"
"RHQ_F_R","Reproductive Health - Pregnant Women",2009,2010,"Questionnaire"
"HIQ_F","Health Insurance",2009,2010,"Questionnaire"
"SXQ_F","Sexual Behavior",2009,2010,"Questionnaire"
"INQ_F","Income",2009,2010,"Questionnaire"
"HUQ_F","Hospital Utilization & Access to Care",2009,2010,"Questionnaire"
"PUQMEC_F","Pesticide Use",2009,2010,"Questionnaire"
"OCQ_D","Occupation",2005,2006,"Questionnaire"
"IMQ_F","Immunization",2009,2010,"Questionnaire"
"OCQ_E","Occupation",2007,2008,"Questionnaire"
"DPQY_F_R","Mental Health - Depression Screener - Youth",2009,2010,"Questionnaire"
"OCQ_E_R","Occupation - Industry & Occupation Codes",2007,2008,"Questionnaire"
"OCQ_F","Occupation",2009,2010,"Questionnaire"
"ECQ_F","Early Childhood",2009,2010,"Questionnaire"
"SLQ_F","Sleep Disorders",2009,2010,"Questionnaire"
"WHQMEC_F","Weight History - Youth",2009,2010,"Questionnaire"
"BHQ_F","Bowel Health",2009,2010,"Questionnaire"
"OSQ_F","Osteoporosis",2009,2010,"Questionnaire"
"KIQ_U_F","Kidney Conditions - Urology",2009,2010,"Questionnaire"
"ALQ_F","Alcohol Use",2009,2010,"Questionnaire"
"ALQY_F","Alcohol Use (Ages 18-19)",2009,2010,"Questionnaire"
"ALQY_F_R","Alcohol Use - Youth",2009,2010,"Questionnaire"
"SXQY_F_R","Sexual Behavior - Youth",2009,2010,"Questionnaire"
"YDQA","Mental Health - Attention Deficit Disorder/Hyperactivity - Youth",2000,2004,"Questionnaire"
"YDQC","Mental Health - Conduct Disorder - Youth, Parent Version",2000,2004,"Questionnaire"
"YDQD","Mental Health - Major Depression/Dysthymic Disorder - Youth",2000,2004,"Questionnaire"
"YDQE","Mental Health - Eating Disorders - Youth",2000,2004,"Questionnaire"
"YDQL","Mental Health - Elimination Disorders - Youth",2000,2004,"Questionnaire"
"YDQG","Mental Health - Generalized Anxiety Disorder - Youth",1999,2004,"Questionnaire"
"YDQP","Mental Health - Panic Disorder - Youth",1999,2004,"Questionnaire"
"DUQ_F","Drug Use",2009,2010,"Questionnaire"
"DUQY_F_R","Drug Use - Youth",2009,2010,"Questionnaire"
"YCQ_B","Mental Health - Conduct Disorder - Youth",2001,2002,"Questionnaire"
"YCQ_C","Mental Health - Conduct Disorder - Youth",2003,2004,"Questionnaire"
"CBQPFA_E","Consumer Behavior Phone Follow-up Module - Adult",2007,2008,"Questionnaire"
"CBQPFC_E","Consumer Behavior Phone Follow-up Module - Child",2007,2008,"Questionnaire"
"HCQ_F","Hepatitis C Follow Up",2009,2010,"Questionnaire"
"RXQ_RX_F","Prescription Medications",2009,2010,"Questionnaire"
"WHQ_F","Weight History",2009,2010,"Questionnaire"
"ACQ_F","Acculturation",2009,2010,"Questionnaire"
"HSQ_F","Current Health Status",2009,2010,"Questionnaire"
"DEQ_F","Dermatology",2009,2010,"Questionnaire"
"DBQ_F","Diet Behavior & Nutrition",2009,2010,"Questionnaire"
"HOQ_F","Housing Characteristics",2009,2010,"Questionnaire"
"TBQ_G","Tuberculosis",2011,2012,"Questionnaire"
"HIQ_G","Health Insurance",2011,2012,"Questionnaire"
"OCQ_D_R","Occupation - Industry & Occupation Codes",2005,2006,"Questionnaire"
"CBQPFA_F","Consumer Behavior Phone Follow-up Module - Adult",2009,2010,"Questionnaire"
"CBQPFC_F","Consumer Behavior Phone Follow-up Module - Child",2009,2010,"Questionnaire"
"FSQ_F","Food Security",2009,2010,"Questionnaire"
"FSQ_F_R","Food Security - Pregnant Women",2009,2010,"Questionnaire"
"OCQ_F_R","Occupation - Industry & Occupation Codes",2009,2010,"Questionnaire"
"DPQYTH_D","Mental Health - Depression Screener - Youth",2005,2006,"Questionnaire"
"BPQ_G","Blood Pressure & Cholesterol",2011,2012,"Questionnaire"
"CDQ_G","Cardiovascular Health",2011,2012,"Questionnaire"
"RDQ_G","Respiratory Health",2011,2012,"Questionnaire"
"PAQ_G","Physical Activity",2011,2012,"Questionnaire"
"PFQ_G","Physical Functioning",2011,2012,"Questionnaire"
"RXQASA_G","Preventive Aspirin Use",2011,2012,"Questionnaire"
"CKQ_G","Creatine Kinase",2011,2012,"Questionnaire"
"CSQ_G","Taste & Smell",2011,2012,"Questionnaire"
"DIQ_G","Diabetes",2011,2012,"Questionnaire"
"HUQ_G","Hospital Utilization & Access to Care",2011,2012,"Questionnaire"
"OHQ_G","Oral Health",2011,2012,"Questionnaire"
"ECQ_G","Early Childhood",2011,2012,"Questionnaire"
"SXQ_G","Sexual Behavior",2011,2012,"Questionnaire"
"SXQY_G_R","Sexual Behavior - Youth",2011,2012,"Questionnaire"
"SMQRTU_G","Smoking - Recent Tobacco Use",2011,2012,"Questionnaire"
"SMQ_G","Smoking - Cigarette Use",2011,2012,"Questionnaire"
"SMQFAM_G","Smoking - Household Smokers",2011,2012,"Questionnaire"
"OCQ_G","Occupation",2011,2012,"Questionnaire"
"HOQ_G","Housing Characteristics",2011,2012,"Questionnaire"
"PUQMEC_G","Pesticide Use",2011,2012,"Questionnaire"
"MCQ_G","Medical Conditions",2011,2012,"Questionnaire"
"IMQ_G","Immunization",2011,2012,"Questionnaire"
"HSQ_G","Current Health Status",2011,2012,"Questionnaire"
"DUQ_G","Drug Use",2011,2012,"Questionnaire"
"DUQY_G_R","Drug Use - Youth",2011,2012,"Questionnaire"
"DLQ_H","Disability",2013,2014,"Questionnaire"
"DPQ_G","Mental Health - Depression Screener",2011,2012,"Questionnaire"
"SLQ_G","Sleep Disorders",2011,2012,"Questionnaire"
"ALQ_G","Alcohol Use",2011,2012,"Questionnaire"
"ALQY_G_R","Alcohol Use - Youth",2011,2012,"Questionnaire"
"RHQ_G","Reproductive Health",2011,2012,"Questionnaire"
"RHQ_G_R","Reproductive Health - Pregnant Women",2011,2012,"Questionnaire"
"DEQ_H","Dermatology",2013,2014,"Questionnaire"
"AUQ_G","Audiometry",2011,2012,"Questionnaire"
"WHQMEC_G","Weight History - Youth",2011,2012,"Questionnaire"
"DPQY_G_R","Mental Health - Depression Screener - Youth",2011,2012,"Questionnaire"
"DEQ_G","Dermatology",2011,2012,"Questionnaire"
"ACQ_G","Acculturation",2011,2012,"Questionnaire"
"SXQYTH","Sexual Behavior - Youth",1999,2000,"Questionnaire"
"RXQ_RX_G","Prescription Medications",2011,2012,"Questionnaire"
"HCQ_G","Hepatitis C Follow Up",2011,2012,"Questionnaire"
"WHQ_G","Weight History",2011,2012,"Questionnaire"
"KIQ_U_G","Kidney Conditions - Urology",2011,2012,"Questionnaire"
"DBQ_G","Diet Behavior & Nutrition",2011,2012,"Questionnaire"
"INQ_G","Income",2011,2012,"Questionnaire"
"CBQ_G","Consumer Behavior",2011,2012,"Questionnaire"
"OSQ_H","Osteoporosis",2013,2014,"Questionnaire"
"IMQ_H","Immunization",2013,2014,"Questionnaire"
"FSQ_G","Food Security",2011,2012,"Questionnaire"
"FSQ_G_R","Food Security - Pregnant Women",2011,2012,"Questionnaire"
"SXQ_H","Sexual Behavior",2013,2014,"Questionnaire"
"SXQY_H_R","Sexual Behavior - Youth",2013,2014,"Questionnaire"
"CDQ_H","Cardiovascular Health",2013,2014,"Questionnaire"
"BPQ_H","Blood Pressure & Cholesterol",2013,2014,"Questionnaire"
"MCQ_H","Medical Conditions",2013,2014,"Questionnaire"
"HIQ_H","Health Insurance",2013,2014,"Questionnaire"
"HUQ_H","Hospital Utilization & Access to Care",2013,2014,"Questionnaire"
"PAQ_H","Physical Activity",2013,2014,"Questionnaire"
"PFQ_H","Physical Functioning",2013,2014,"Questionnaire"
"HEQ_H","Hepatitis",2013,2014,"Questionnaire"
"ECQ_H","Early Childhood",2013,2014,"Questionnaire"
"DIQ_H","Diabetes",2013,2014,"Questionnaire"
"SMQFAM_H","Smoking - Household Smokers",2013,2014,"Questionnaire"
"SMQ_H","Smoking - Cigarette Use",2013,2014,"Questionnaire"
"SMQRTU_H","Smoking - Recent Tobacco Use",2013,2014,"Questionnaire"
"HOQ_H","Housing Characteristics",2013,2014,"Questionnaire"
"PUQMEC_H","Pesticide Use",2013,2014,"Questionnaire"
"SMQSHS_H","Smoking - Secondhand Smoke Exposure",2013,2014,"Questionnaire"
"INQ_H","Income",2013,2014,"Questionnaire"
"CSQ_H","Taste & Smell",2013,2014,"Questionnaire"
"DBQ_H","Diet Behavior & Nutrition",2013,2014,"Questionnaire"
"CBQ_H","Consumer Behavior",2013,2014,"Questionnaire"
"HSQ_H","Current Health Status",2013,2014,"Questionnaire"
"SLQ_H","Sleep Disorders",2013,2014,"Questionnaire"
"RXQASA_H","Preventive Aspirin Use",2013,2014,"Questionnaire"
"DUQ_H","Drug Use",2013,2014,"Questionnaire"
"DUQY_H_R","Drug Use - Youth",2013,2014,"Questionnaire"
"WHQMEC_H","Weight History - Youth",2013,2014,"Questionnaire"
"ALQ_H","Alcohol Use",2013,2014,"Questionnaire"
"ALQY_H_R","Alcohol Use - Youth",2013,2014,"Questionnaire"
"DPQ_H","Mental Health - Depression Screener",2013,2014,"Questionnaire"
"DPQY_H_R","Mental Health - Depression Screener - Youth",2013,2014,"Questionnaire"
"ACQ_H","Acculturation",2013,2014,"Questionnaire"
"WHQ_H","Weight History",2013,2014,"Questionnaire"
"RHQ_H","Reproductive Health",2013,2014,"Questionnaire"
"RHQ_H_R","Reproductive Health - Pregnant Women",2013,2014,"Questionnaire"
"FSQ_H","Food Security",2013,2014,"Questionnaire"
"OHQ_H","Oral Health",2013,2014,"Questionnaire"
"FSQ_H_R","Food Security - Pregnant Women",2013,2014,"Questionnaire"
"OCQ_H","Occupation",2013,2014,"Questionnaire"
"CFQ_G","Cognitive Functioning",2011,2012,"Questionnaire"
"RXQ_RX_H","Prescription Medications",2013,2014,"Questionnaire"
"KIQ_U_H","Kidney Conditions - Urology",2013,2014,"Questionnaire"
"CKQ_H","Creatine Kinase",2013,2014,"Questionnaire"
"VTQ_H","Volatile Toxicant",2013,2014,"Questionnaire"
"VTQ_G","Volatile Toxicant",2011,2012,"Questionnaire"
"VTQ_F","Volatile Toxicant",2009,2010,"Questionnaire"
"CFQ_H","Cognitive Functioning",2013,2014,"Questionnaire"
"PFQ_I","Physical Functioning",2015,2016,"Questionnaire"
"CDQ_I","Cardiovascular Health",2015,2016,"Questionnaire"
"MCQ_I","Medical Conditions",2015,2016,"Questionnaire"
"BPQ_I","Blood Pressure & Cholesterol",2015,2016,"Questionnaire"
"HEQ_I","Hepatitis",2015,2016,"Questionnaire"
"DLQ_I","Disability",2015,2016,"Questionnaire"
"HIQ_I","Health Insurance",2015,2016,"Questionnaire"
"PAQ_I","Physical Activity",2015,2016,"Questionnaire"
"HUQ_I","Hospital Utilization & Access to Care",2015,2016,"Questionnaire"
"IMQ_I","Immunization",2015,2016,"Questionnaire"
"SMQSHS_I","Smoking - Secondhand Smoke Exposure",2015,2016,"Questionnaire"
"SMQRTU_I","Smoking - Recent Tobacco Use",2015,2016,"Questionnaire"
"SMQFAM_I","Smoking - Household Smokers",2015,2016,"Questionnaire"
